Tweet id,Tweet permalink,Tweet text,time,impressions,engagements,engagement rate,retweets,replies,likes,user profile clicks,url clicks,hashtag clicks,detail expands,permalink clicks,app opens,app installs,follows,email tweet,dial phone,media views,media engagements,promoted impressions,promoted engagements,promoted engagement rate,promoted retweets,promoted replies,promoted likes,promoted user profile clicks,promoted url clicks,promoted hashtag clicks,promoted detail expands,promoted permalink clicks,promoted app opens,promoted app installs,promoted follows,promoted email tweet,promoted dial phone,promoted media views,promoted media engagements
1.15E+18,https://twitter.com/SuddenlyZen/status/1145352311792971777,"@POTUS @realDonaldTrump Oh, and don't let people tell you that you shouldn't go golfing or relax ever.  That's silly.  You are the PRESIDENT!  Of course you should try and relax at times.  When you are relaxed... you are pretty cool!",2019-06-30 15:24 +0000,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1.15E+18,https://twitter.com/SuddenlyZen/status/1145351976647045120,"@POTUS @realDonaldTrump I hope you will forgive me.  I have to go now, Scout pooped in my living room again... which tells me he doesn't understand what I have been trying to tell him.  Good luck today!",2019-06-30 15:22 +0000,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1.15E+18,https://twitter.com/SuddenlyZen/status/1145351727153070080,"@POTUS @realDonaldTrump Good Morning, Mr. President!  I hope you slept well!  I changed my mind about you.  And I really want to apologize to you.

I judged you too harshly.  When I should have been a better listener.",2019-06-30 15:21 +0000,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1.15E+18,https://twitter.com/SuddenlyZen/status/1145203497094324224,HEY AMERICA!!!  @TIME Get's it!  I want to tell people that my dog is my mirror... That is the REAL reason he helps me.  I can tell what my emotional state is by how he acts.  That's how I got him mostly trained in 2 weeks.  Read my twitter for details. https://t.co/x68It7E8LP,2019-06-30 05:32 +0000,301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1.15E+18,https://twitter.com/SuddenlyZen/status/1145202911103860736,"@amyshumer  My girlfriend loves you.  And she has something to tell you.  But she keeps putting it off.  Can you maybe reach out to her?

Also, here is my dog! https://t.co/lvDoOwxgB4",2019-06-30 05:30 +0000,123,3,0.024390244,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1.15E+18,https://twitter.com/SuddenlyZen/status/1145202366775549952,"@AOC I ask this because I think I can trust you.  You dreamed big.  

That's a good sign.",2019-06-30 05:28 +0000,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1.15E+18,https://twitter.com/SuddenlyZen/status/1145202101431296000,"@AOC   I need your help!  I am a really nice person.  And I can prove it.  Here is my trusty dog scout.

Read my profile for details.  It's too long to say here. https://t.co/1pPWWeYEXM",2019-06-30 05:27 +0000,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1.15E+18,https://twitter.com/SuddenlyZen/status/1145200377748500480,"@PeteButtigieg Hey Pete!  Me again.  I applied to your campaign weeks ago and haven't heard back yet.  

I REALLY want to tell you why Scout thinks you are going to be in president.  But I can't do that if we don't meet.  It's kinda important. Hint-hint. ",2019-06-30 05:20 +0000,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1.15E+18,https://twitter.com/SuddenlyZen/status/1145198264934916096,"@cnnbrk @CNN @cnni @CNNPolitics @FoxNews @MSNBC @BBCWorld 

Hey News Networks... just as a heads up... I am going to announce my truth here on twitter.  Because... well, I need to sleep on it to make sure that I am not crazy.

But I secretly suspect that ",2019-06-30 05:11 +0000,97,1,0.010309278,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1.15E+18,https://twitter.com/SuddenlyZen/status/1145194864189104129,"Hey, can we be twitter friends?  I also went to UNL.  GO BIG RED!!! https://t.co/6wsUPe2cEl",2019-06-30 04:58 +0000,291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
