word,no,yes
holier,0.0027472527472527475,0
home,0.0027472527472527475,0
homeless,0.0027472527472527475,0.002638522427440633
homework,0.0027472527472527475,0
honest,0,0.005277044854881266
honestly,0.0027472527472527475,0
hoo,0.005494505494505495,0
hope,0,0.002638522427440633
hospital,0.0027472527472527475,0
hours,0.0027472527472527475,0
house,0,0.002638522427440633
housing,0.0027472527472527475,0
huge,0.0027472527472527475,0.002638522427440633
hurt,0.0027472527472527475,0.005277044854881266
i,0.0027472527472527475,0
ibncsa,0.0027472527472527475,0
idea,0,0.005277044854881266
ideas,0,0.002638522427440633
ijg,0,0.002638522427440633
imagine,0.0027472527472527475,0
improvement,0,0.002638522427440633
impulsive,0,0.002638522427440633
including,0.0027472527472527475,0
income,0,0.002638522427440633
injury,0,0.002638522427440633
insane,0.0027472527472527475,0
inside,0.0027472527472527475,0
inspire,0,0.002638522427440633
instant,0,0.002638522427440633
intend,0.0027472527472527475,0
interview,0,0.002638522427440633
invisible,0,0.002638522427440633
issue,0.0027472527472527475,0.002638522427440633
it,0.01098901098901099,0
jackass,0,0.002638522427440633
jail,0,0.002638522427440633
jailor,0.0027472527472527475,0
jajva,0,0.002638522427440633
job,0.005494505494505495,0
john,0,0.002638522427440633
joke,0,0.005277044854881266
journalism,0,0.002638522427440633
judge,0,0.002638522427440633
jywbheqrev,0.0027472527472527475,0
kevin,0,0.002638522427440633
kidding,0,0.002638522427440633
killed,0,0.002638522427440633
kinda,0.0027472527472527475,0.005277044854881266
kink,0.0027472527472527475,0
laugh,0,0.002638522427440633
laws,0,0.005277044854881266
learned,0.0027472527472527475,0
learning,0,0.002638522427440633
leave,0,0.002638522427440633
legally,0,0.002638522427440633
letter,0.0027472527472527475,0
letting,0.0027472527472527475,0
liberal,0.0027472527472527475,0
life,0.01098901098901099,0
listen,0.01098901098901099,0
listeners,0,0.002638522427440633
live,0.0027472527472527475,0.005277044854881266
locked,0.0027472527472527475,0
lose,0.0027472527472527475,0
lost,0.005494505494505495,0.0079155672823219
lot,0.005494505494505495,0.002638522427440633
lot's,0,0.002638522427440633
lots,0,0.002638522427440633
love,0.0027472527472527475,0.002638522427440633
loves,0,0.002638522427440633
loving,0,0.002638522427440633
makes,0.0027472527472527475,0.002638522427440633
mark,0.0027472527472527475,0
marriage,0.0027472527472527475,0
married,0.0027472527472527475,0
massage,0.0027472527472527475,0
matter,0,0.005277044854881266
max,0.0027472527472527475,0
meet,0,0.002638522427440633
mental,0,0.005277044854881266
mindfully,0,0.002638522427440633
miracle,0.0027472527472527475,0
mom,0.0027472527472527475,0.005277044854881266
mom's,0,0.002638522427440633
moment,0.0027472527472527475,0
money,0,0.002638522427440633
morning,0.0027472527472527475,0
movies,0.0027472527472527475,0
national,0.0027472527472527475,0
neck,0.0027472527472527475,0
nerds,0.0027472527472527475,0
nerdy,0,0.002638522427440633
nice,0,0.005277044854881266
night,0.005494505494505495,0
nmb,0,0.002638522427440633
note,0.0027472527472527475,0
nsa,0,0.002638522427440633
obvious,0.0027472527472527475,0
ocean,0,0.002638522427440633
offices,0.0027472527472527475,0
oliver,0,0.002638522427440633
operate,0,0.002638522427440633
ot,0.0027472527472527475,0
overkill,0,0.002638522427440633
ownership,0.0027472527472527475,0
ox,0.0027472527472527475,0
p,0,0.005277044854881266
paid,0.0027472527472527475,0
paper,0,0.005277044854881266
pelini,0,0.002638522427440633
pending,0.0027472527472527475,0
people,0.02197802197802198,0.013192612137203167
pete,0.0027472527472527475,0.005277044854881266
photo,0.0027472527472527475,0.002638522427440633
phrase,0.0027472527472527475,0
picture,0.0027472527472527475,0
pictures,0.0027472527472527475,0.002638522427440633
planned,0.0027472527472527475,0
politicians,0,0.002638522427440633
poop,0.0027472527472527475,0
poor,0,0.002638522427440633
posted,0.0027472527472527475,0
pot,0,0.002638522427440633
power,0.0027472527472527475,0
preaching,0,0.002638522427440633
president,0,0.002638522427440633
pretty,0.008241758241758242,0.005277044854881266
princess,0.0027472527472527475,0
prison,0.0027472527472527475,0
pronouns,0,0.005277044854881266
protect,0,0.005277044854881266
protection,0,0.002638522427440633
protective,0,0.002638522427440633
prove,0,0.002638522427440633
psychotic,0,0.002638522427440633
ptsd,0.005494505494505495,0.0079155672823219
purpose,0,0.002638522427440633
purse,0.0027472527472527475,0
q,0.0027472527472527475,0
ql,0,0.002638522427440633
quit,0.005494505494505495,0
quote,0.0027472527472527475,0
r,0,0.002638522427440633
radical,0,0.002638522427440633
random,0.0027472527472527475,0
rash,0.0027472527472527475,0
reach,0,0.002638522427440633
ready,0,0.002638522427440633
real,0.0027472527472527475,0
realized,0,0.002638522427440633
realizing,0.0027472527472527475,0
reasons,0.0027472527472527475,0
rebelboldly,0.0027472527472527475,0
recipe,0.0027472527472527475,0
red,0.0027472527472527475,0
register,0.0027472527472527475,0
rehab,0.0027472527472527475,0
released,0.0027472527472527475,0
remember,0.0027472527472527475,0.002638522427440633
remind,0,0.005277044854881266
replacing,0.0027472527472527475,0
request,0.0027472527472527475,0
results,0.0027472527472527475,0
retweet,0.0027472527472527475,0
rich,0.0027472527472527475,0
ridiculous,0.0027472527472527475,0
righteous,0.0027472527472527475,0
rights,0.0027472527472527475,0.002638522427440633
ruined,0.0027472527472527475,0
safe,0.0027472527472527475,0
salad,0,0.002638522427440633
sauna,0.0027472527472527475,0
sbhu,0.0027472527472527475,0
scared,0,0.002638522427440633
scariest,0,0.002638522427440633
scary,0.005494505494505495,0.0079155672823219
scenario,0,0.002638522427440633
school,0.0027472527472527475,0.002638522427440633
scoop,0.0027472527472527475,0
scout,0.0027472527472527475,0
scout's,0,0.002638522427440633
sean,0,0.002638522427440633
sense,0,0.002638522427440633
sentence,0,0.002638522427440633
serve,0,0.002638522427440633
served,0,0.002638522427440633
sgcmmz,0,0.002638522427440633
shabby,0.0027472527472527475,0
share,0,0.002638522427440633
short,0.0027472527472527475,0.002638522427440633
shorts,0.013736263736263736,0
showers,0.0027472527472527475,0
sincerely,0.0027472527472527475,0
sleep,0.005494505494505495,0
slightly,0.005494505494505495,0
slipped,0.0027472527472527475,0
smart,0.005494505494505495,0
smarter,0,0.002638522427440633
snake,0.0027472527472527475,0
snakes,0.0027472527472527475,0
snoopy,0,0.002638522427440633
snoring,0.0027472527472527475,0
softies,0.0027472527472527475,0
solatary,0,0.002638522427440633
son,0.0027472527472527475,0.0079155672823219
sounds,0.0027472527472527475,0
spending,0.0027472527472527475,0
spoke,0.0027472527472527475,0
staff,0,0.002638522427440633
stay,0.0027472527472527475,0
steal,0.0027472527472527475,0
stephen,0.0027472527472527475,0
story,0,0.010554089709762533
stream,0,0.002638522427440633
streamed,0.0027472527472527475,0
stressed,0,0.002638522427440633
struggle,0.0027472527472527475,0
stuck,0.0027472527472527475,0
stuff,0.0027472527472527475,0
stupid,0.0027472527472527475,0.002638522427440633
suddenly,0.005494505494505495,0
suddenlyzen,0.0027472527472527475,0
suffered,0,0.002638522427440633
suicide,0.0027472527472527475,0.002638522427440633
super,0.005494505494505495,0.002638522427440633
support,0.0027472527472527475,0
surrounded,0,0.002638522427440633
survive,0.0027472527472527475,0
swamp,0.0027472527472527475,0
sweat,0.0027472527472527475,0
switch,0.0027472527472527475,0
system,0,0.002638522427440633
takes,0,0.002638522427440633
taking,0.0027472527472527475,0
talking,0,0.002638522427440633
tattoo,0,0.002638522427440633
teacher,0,0.002638522427440633
team,0,0.002638522427440633
technically,0.0027472527472527475,0
telling,0,0.002638522427440633
tension,0.0027472527472527475,0
terminated,0.0027472527472527475,0
terrible,0,0.002638522427440633
terrify,0,0.002638522427440633
that,0.0027472527472527475,0.002638522427440633
thinking,0,0.005277044854881266
thou,0.0027472527472527475,0
time,0.0027472527472527475,0.0158311345646438
told,0.005494505494505495,0.013192612137203167
ton,0.0027472527472527475,0
torture,0,0.002638522427440633
tortured,0,0.002638522427440633
totally,0.005494505494505495,0
tpcbe,0.0027472527472527475,0
tra,0.0027472527472527475,0
trade,0.0027472527472527475,0
treasure,0.0027472527472527475,0
triggered,0.008241758241758242,0.002638522427440633
truecourage,0,0.002638522427440633
trump,0,0.002638522427440633
trust,0.01098901098901099,0.005277044854881266
trustmyself,0.0027472527472527475,0
truth,0.0027472527472527475,0.002638522427440633
tunrqb,0.0027472527472527475,0
tweet,0.0027472527472527475,0.002638522427440633
tweeted,0,0.002638522427440633
twitter,0.019230769230769232,0.013192612137203167
ugdvy,0.0027472527472527475,0
ultimately,0.0027472527472527475,0
ultra,0.0027472527472527475,0
undiagnosed,0.005494505494505495,0
unl,0.0027472527472527475,0
unnoticed,0,0.002638522427440633
utah,0,0.002638522427440633
uvfulmfjzr,0.0027472527472527475,0
validity,0,0.002638522427440633
values,0.0027472527472527475,0.002638522427440633
version,0.0027472527472527475,0
veteran,0,0.002638522427440633
veterans,0,0.005277044854881266
view,0,0.002638522427440633
visit,0.0027472527472527475,0
visiting,0,0.002638522427440633
voices,0,0.002638522427440633
vote,0,0.005277044854881266
vows,0.0027472527472527475,0
wait,0.0027472527472527475,0
wallet,0.0027472527472527475,0
wasn,0.0027472527472527475,0
weight,0.0027472527472527475,0
weird,0.013736263736263736,0.002638522427440633
whew,0,0.002638522427440633
white,0,0.002638522427440633
whoo,0.0027472527472527475,0
whyyouwereelected,0.0027472527472527475,0
wife,0.0027472527472527475,0
wizard,0.0027472527472527475,0
women's,0,0.002638522427440633
wonderful,0.0027472527472527475,0
words,0.0027472527472527475,0
world,0.005494505494505495,0.013192612137203167
worry,0,0.005277044854881266
worst,0,0.002638522427440633
worth,0,0.005277044854881266
wounds,0,0.002638522427440633
wow,0.0027472527472527475,0
wrote,0.0027472527472527475,0
wsupe,0.0027472527472527475,0
xsn,0.0027472527472527475,0
ya'll,0,0.002638522427440633
ydlceu,0,0.002638522427440633
yeah,0.008241758241758242,0.0079155672823219
yesterday,0.0027472527472527475,0
yr,0.0027472527472527475,0
z,0.005494505494505495,0.002638522427440633
zen,0.005494505494505495,0
